24549301,6
24462335,5
24276553,28
26301486,32
26006731,6
23500037,5
25001849,5
25356351,5
25218476,20
23127076,5
26660079,5
21369922,2
22621502,2
23459737,5
23610178,5
24606312,6
26357702,5
21512033,3
26278420,5
23019086,39
23086705,5
24416321,5
22896462,37
25792857,38
25300886,5
24327953,15
22014592,46
22545712,15
19209729,21
24183198,5
24906485,5
24944730,5
25118651,5
25042993,5
25972221,5
18823076,2
24041024,5
24605210,6
24637986,5
24985831,5
23599550,5
13010128,21
24845699,5
25399658,13
24694197,5
24775144,5
24781713,5
25836698,5
11323344,3
24359031,5
